"film_id","title","rental_rate","replacement_cost"
23,"Anaconda Confessions","0.99","9.99"
221,"Deliverance Mulholland","0.99","9.99"
281,"Encino Elf","0.99","9.99"
299,"Factory Dragon","0.99","9.99"
348,"Gandhi Kwai","0.99","9.99"
623,"Newton Labyrinth","0.99","9.99"
629,"Notorious Reunion","0.99","9.99"
656,"Papi Necklace","0.99","9.99"
747,"Roxanne Rebel","0.99","9.99"
863,"Sun Confessions","0.99","9.99"
875,"Talented Homicide","0.99","9.99"
886,"Theory Mermaid","0.99","9.99"
931,"Valentine Vanishing","0.99","9.99"
953,"Wait Cider","0.99","9.99"
996,"Young Language","0.99","9.99"
